"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.721191400E-1,2.685699463E-1,9.776931763E0,7.075653076E-1,9.806180356E0
6.770935060E-1,3.212432861E-1,9.817626953E0,6.979827881E-1,9.847648258E0
6.820983890E-1,3.571472168E-1,9.841567993E0,6.237640381E-1,9.867780717E0
6.870727540E-1,4.313812256E-1,9.827209473E0,4.896850586E-1,9.848854108E0
6.920471190E-1,4.026489258E-1,9.836776733E0,4.489898682E-1,9.855247057E0
6.970214840E-1,3.356018066E-1,9.827209473E0,4.896850586E-1,9.845123973E0
7.019958490E-1,2.589874268E-1,9.784103394E0,6.165771484E-1,9.806932297E0
7.069702150E-1,1.847686768E-1,9.717071533E0,6.716461182E-1,9.742008374E0
7.119445800E-1,6.745910645E-2,9.709884644E0,7.650146484E-1,9.740208311E0
7.169189450E-1,4.119873047E-4,9.604537964E0,9.230346680E-1,9.648789700E0
7.218933100E-1,-8.576965332E-2,9.501586914E0,1.061904907E0,9.561127149E0
7.268981930E-1,-1.121063232E-1,9.403427124E0,1.181610107E0,9.478038402E0
7.318725580E-1,-1.408386230E-1,9.360336304E0,1.207946777E0,9.439007715E0
7.368469240E-1,-1.671752930E-1,9.369918823E0,1.172027588E0,9.444415016E0
7.418212890E-1,-1.264801025E-1,9.453704834E0,1.169631958E0,9.526624335E0
7.467956540E-1,-1.336517334E-1,9.503982544E0,1.112182617E0,9.569769964E0
7.517700190E-1,-1.049346924E-1,9.551864624E0,1.059509277E0,9.611019144E0
7.567443850E-1,-9.155273438E-3,9.549484253E0,9.900665283E-1,9.600675239E0
7.617187500E-1,2.674865723E-2,9.556655884E0,1.037963867E0,9.612895306E0
7.666931150E-1,4.112243652E-2,9.544692993E0,1.066680908E0,9.604200308E0
7.716979980E-1,8.421325684E-2,9.590179443E0,1.104995728E0,9.653996540E0
7.766723630E-1,6.266784668E-2,9.544692993E0,1.083450317E0,9.606193637E0
7.816467280E-1,4.591369629E-2,9.525543213E0,1.057113647E0,9.584131199E0
7.866210940E-1,1.478576660E-2,9.532714844E0,1.085845947E0,9.594369825E0
7.915954590E-1,-4.028320312E-2,9.547088623E0,1.172027588E0,9.618844659E0
7.965698240E-1,-3.549194336E-2,9.599761963E0,1.128936768E0,9.665980946E0
8.015441890E-1,-3.309631348E-2,9.590179443E0,1.109786987E0,9.654235562E0
8.065185550E-1,-1.634216309E-2,9.571029663E0,9.972534180E-1,9.622857697E0
8.114929200E-1,5.787658691E-2,9.616516113E0,9.230346680E-1,9.660886339E0
8.164978030E-1,1.249237061E-1,9.616516113E0,9.134521484E-1,9.660609863E0
8.214721680E-1,1.775817871E-1,9.700317383E0,8.847351074E-1,9.742199384E0
8.264465330E-1,1.943511963E-1,9.736221313E0,9.014892578E-1,9.779798604E0
8.314208980E-1,1.105499268E-1,9.760162354E0,9.302215576E-1,9.805014156E0
8.363952640E-1,4.351806641E-2,9.700317383E0,8.775482178E-1,9.740027825E0
8.413696290E-1,-3.070068359E-2,9.714675903E0,8.823394775E-1,9.754711343E0
8.463439940E-1,-7.620239258E-2,9.657211304E0,9.517669678E-1,9.704297879E0
8.513183590E-1,-1.145019531E-1,9.685943604E0,1.167251587E0,9.756694648E0
8.562927240E-1,-1.360473633E-1,9.673980713E0,1.339630127E0,9.767242221E0
8.612670900E-1,-7.859802246E-2,9.707489014E0,1.365966797E0,9.803437453E0
8.662719730E-1,-4.986572266E-2,9.647644043E0,1.265411377E0,9.730405342E0
8.712463380E-1,-1.983642578E-3,9.628479004E0,1.176818848E0,9.700129611E0
8.762207030E-1,-2.352905273E-2,9.640457153E0,1.100204468E0,9.703062280E0
8.811950680E-1,5.203247070E-3,9.662002563E0,1.028381348E0,9.716578040E0
8.861694330E-1,3.393554688E-2,9.650039673E0,1.009231567E0,9.702729805E0
8.911437990E-1,1.464691162E-1,9.669189453E0,1.018798828E0,9.723817611E0
8.961181640E-1,1.871643066E-1,9.654815674E0,1.069076538E0,9.715627659E0
9.010925290E-1,1.943511963E-1,9.611724854E0,1.054718018E0,9.671373074E0
9.060668940E-1,1.368865967E-1,9.657211304E0,9.062805176E-1,9.700608872E0
9.110717770E-1,1.991424561E-1,9.697921753E0,7.913513184E-1,9.732193019E0
9.160461420E-1,1.129455566E-1,9.626098633E0,7.291107178E-1,9.654332397E0
9.210205080E-1,1.249237061E-1,9.592575073E0,7.745971680E-1,9.624609251E0
9.259948730E-1,5.308532715E-2,9.561447144E0,8.943023682E-1,9.603325791E0
9.309692380E-1,-4.364013672E-3,9.487228394E0,1.049926758E0,9.545148916E0
9.359436030E-1,-6.901550293E-2,9.480041504E0,1.037963867E0,9.536944953E0
9.409179690E-1,-9.056091309E-2,9.492019653E0,9.709167480E-1,9.541976614E0
9.458923340E-1,-6.182861328E-2,9.527923584E0,8.583984375E-1,9.566713045E0
9.508666990E-1,-1.634216309E-2,9.494415283E0,7.985382080E-1,9.527951086E0
9.558715820E-1,1.718139648E-2,9.535110474E0,7.722015381E-1,9.566343197E0
9.608459470E-1,1.957702637E-2,9.511169434E0,7.650146484E-1,9.541906239E0
9.658203120E-1,-3.070068359E-2,9.508773804E0,7.865600586E-1,9.541299624E0
9.707946780E-1,-1.873779297E-2,9.484832764E0,7.865600586E-1,9.517409332E0
9.757690430E-1,-1.873779297E-2,9.487228394E0,8.368377686E-1,9.524082693E0
9.807434080E-1,-4.747009277E-2,9.453704834E0,9.421844482E-1,9.500657874E0
9.857177730E-1,-4.507446289E-2,9.515960693E0,9.804992676E-1,9.566447535E0
9.906921390E-1,-1.394653320E-2,9.585388184E0,9.350128174E-1,9.630893526E0
9.956665040E-1,1.239013672E-2,9.683547974E0,9.038848877E-1,9.725649735E0
1.000640869E0,1.957702637E-2,9.685943604E0,9.206390381E-1,9.729617823E0
1.005645752E0,5.068969727E-2,9.681152344E0,9.709167480E-1,9.729848893E0
1.010620117E0,4.591369629E-2,9.695526123E0,1.028381348E0,9.750020670E0
